post_id,post_title,post_reply_count,post_content,post_time,post_author,last_reply_author,last_reply_time
,本吧吧主火热招募中，点击参加,0,,未知,未知,未知,未知
762,大学吧2023年兼职、广告、招聘统一发布贴,0,,2023-01,Death君子一醉,未知,未知
0,想谈甜甜的恋爱了,0,大学里怎么找对象啊,19:48,a29d7x4c,a29d7x4c,19:48
127,在大学做校🐔会被开除嘛😭,0,想多赚些零花钱…,3-18,贴吧用户_7C76tP6,a29d7x4c,19:47
8,收闲鱼hhh,0,130一天,3-13,由蔓蔓,由蔓蔓,19:45
80,看看需要不。,0,主攻理工科，博士再读，各科都有涉猎。文科不在话下。指导辅导。全天在线,2-18,陈哥的宝宝123,陈哥的宝宝123,19:45
26,找长期的来,0,简单上手,4-10,tyjvghm4684y,殇盛7,19:38
1,网\址a~有人要吗,0,,19:24,徐长政呀,徐长政呀,19:24
1,大学到底该怎么度过,0,"本飞舞就一普通的二本生，化妆品专业的大二生，每天在学校上课都是化学。我高中是新高考的，也没选化学，现在就是上课很痛苦,既上课跟不上，也不怎么想听😤😤，感觉大学过的非常迷茫，偶尔想一下未来的事，就觉得不能再这样了，但是又不知道该怎么办。。最后也就不了了之💩💩。问了问高中老师给的建议也都是考研考公，不过说实话这两条路我都不是很想走，考公感觉工作很没意思,可能辈子都没什么变化，也是大家说都稳定吧,",15:08,贴吧用户_Gy4Q1GP,贴吧用户_aa7UDXG,19:34
492,庆余年2等了那么多年终于等来了,0,,4-9,天蝎云烟,auiorar,19:33
0,想创建一个属于零零后搞钱的圈子,0,大家一起避免被割韭菜,19:04,贴吧用户_JQt2X3R,贴吧用户_JQt2X3R,19:04
4,全网为哎匹视频随便看，手机电脑平板电视都可以看哦，4k分辨率。,0,全网为爱屁视频随便看，只要你能在优哭，哎奇艺，疼训等各大hi频网站能找到的上面全有，4k分辨率，电视剧，电影，各大📺直播，综艺等等全部有，买个滕讯，艾奇艺都一百多只能看一年，咱这个一次付费永久都可以用，价格不高给钱就卖！最重要的是4k，杜比世界，hdr，高码率，弹幕全部支持，而且电视也可以看哦@,18:33,gvzdrvf,gvzdrvf,19:14
1,微信好友多的来,0,安全绿色,19:00,贴吧用户_GCMaAXM,香蕉菠萝哦,19:02
266,同学们，放假了来玩team单机游戏！,0,热门好玩的都有,2-5,帅小伙😜😁😁,千手丶m,19:06
0,大学不能摆烂,0,目前市场上带电的理工科就业都不错，选学校切记专业gt城市=学校，除非自身对某个冷门专业特别感兴趣，那就去个保研率高的学校。如果想保研，就从大一开始卷，考研考公的允许你大一大二摆烂，大三就要开始认真，准备就业的就好好实习，考公的有机会就去考定向选调，也可以考烟草，应届生身份很重要，大厂和国央企很看重这个。,18:46,登顶时刻🌀🌈,登顶时刻🌀🌈,18:46
734,工人日报评“考研总成绩第一却不被录取”,0,呼吁加强品德考核是在力挺德才兼备,4-8,贴吧用户_05MUEyE,晴天♤🔯,18:55
86,#学长学姐讲校园#/a海大萌新无忧贴~~~,0,亲爱的海南大学的学弟学妹们，恭喜大家成功上岸海大，欢迎你们加入海南大学这个大家庭。步入新阶段，来到新环境，大家一定会有很多的担心和好奇，雨后的海大真的会变大海吗？食堂五块钱能吃饱吗？澡堂洗一次澡居然要十块钱吗……喂喂喂，萌新看过来！网上瞎找答案，不如进贴看一看！学长学姐将在此贴为大家答疑解惑，同时建了新生聊天QQ群方便大家交朋友、聚老乡、寻同学，在群里可以更好地为大家解答转专业、奖学金、宿舍环境、大,2022-07,贴吧用户_aZtMtQ2,南海之风602,9-5
15,开年第一波招聘,0,,3-27,贴吧用户_72N2E5,贴吧用户_72N2E5,18:50
1,有学机械的帮解惑下吗？,0,来自一所非机械强校，专业是机器人工程，本科培养方案如下（有些课是选修），专业开在机械与电气工程学院，请问这样的培养方案是否偏向传统机械，以后读研能读什么方向？,16:15,柠衣♬,柠衣♬,18:45
14,得物球鞋搬砖倒卖，有组织一起玩，纯绿色项目！,0,利润如图，,3-7,Charm罂粟,yog10085,18:43
28,大学生滴生活费是多少呀#大学生活#/a#借钱#/a,0,有资金需要可以找我,2023-12,双岁一💕,123acABC282,18:40
53,长清大学事件体育生谁懂这张份量,0,,2023-12,贴吧用户_J571PEt,123acABC282,18:40
114,什么都会的美工，在线等o,0,,2021-06,狂野女孩娜娜,狂野女孩娜娜,18:35
11,分享一些生活碎片～,0,,4-11,贴吧用户_58aXX7,贴吧用户_58aXX7,18:34
13,《画江湖之不良人》S1~S6未删减版,0,二楼自取无偿,1-8,亚诺678,贴吧用户_51NSVE5,18:29
42,还有十来天开学，字都不会写了，需要恢复一下状态了，期待大学生,0,还有十来天开学，字都不会写了，需要恢复一下状态了，期待大学生活😊,2018-08,亦畅亦欣,贴吧用户_GWU7AJC,18:12
217,想要网址🅰️滴滴,0,,2-29,刚刚跟反弹刚刚,刚刚跟反弹刚刚,18:08
0,双非一本旅游管理，有必要读吗？,0,如题。,17:48,楠瓜凉子,楠瓜凉子,17:48
0,不是吧家人们，别这么卷我啊啊啊,0,在阿一网络安全学习的第25天,17:58,尤川欧尼🌴,尤川欧尼🌴,17:58
73,04，什么都可以问,0,#大学生#/a#04#/a#大学生活#/a,2023-10,贴吧用户_J7CyJW,wko,17:51
4,招大学生代理,0,"0成本,一件代发懂的都懂",16:13,贴吧用户_J5KS6SW,wko,17:49
27,有人想了解临🛏️的吗,0,,4-8,小瑞试药,wko,17:49
13,学生免费需要的dd,0,,4-8,贴吧用户_JQDD6tV,wko,17:48
0,校方通报大学教授校内遇交通事故离世,0,,17:33,机灵◎小不懂,机灵◎小不懂,17:33
0,戒色成功的前提，建立正确的认识与态度,0,能不能戒掉SY，最根本的决定因素还是态度问题。戒色之初，务必要立定坚定不拔之志，不铲除淫习誓不罢休。如能如此立志，无不成功者。很多人也意识到了戒除恶习的必要，戒色的方法也知道，但在关键处却始终突破不了。说到底还是自己的戒色态度有问题，对自己下不了狠心，没有真正立定戒淫之志，即便立志也不够真切、坚定，时有放纵、姑息自己之心。第二就是深刻认识SY的严重危害两种途径：一是归纳SY对自己身体、学业、工作、事业、性,17:34,贴吧用户_Q4W7Gy5,贴吧用户_Q4W7Gy5,17:34
4,还有人不知道大学生也可以申请专利吗！,0,哈喽～同学们👩🎓想必你们也多多少少听说或者了解过国家专利可以加学分，保研加分，那么我来给大家再详细说一说，专利对于大学生来说可以做什么1奖励与研究生保送大学生获得国家专利，学校会给予奖励，或免试保送读研究生2获得基础创新学分一般高校都设有必修的课外创新实践学分，申请专利，拿到受理通知书可加1分，拿到专利证书可以加4到6分3加分获取奖学金学校都会为取得国家专利证书的学生额外加分，专利证书属国家级证书,4-9,举身赴清池✨,专利预审,17:35
6,大学得物球鞋搬砖倒卖,0,一起玩，纯绿色项目！,3-29,zyj773,6M6X7w4HRP51L,17:28
24,庆余年2要看的免费,0,,4-9,185爱165,远看像棵草,17:21
1,Gt40真的泰裤辣,0,论文写作ChatGPT是目前热度最高的人工智能文字大模型，能够实现文本生成回答，翻译等功能，40版本能够生成更符合人类情感的文本，并且能够识别图片处理!我是在公主号《Ai小小屋》里面搞定的捏~#大学生#/a我的写作日常#学习#/a学习资料分享#chatgt应用领域#/achatgt技巧#chatgt写论文#/achatgt,17:19,贴吧用户_Ja45EQ8,贴吧用户_Ja45EQ8,17:19
